Player Name,Passes Completed,Passes Attempted,Key Passes,Completed Passes into PA
Noah Joel Sarenren Bazee,11.0,22.0,0.0,0.0
Claudio Beauvue,248.0,389.0,14.0,10.0
Bebé,317.0,527.0,20.0,16.0
Bebé,20.0,32.0,1.0,1.0
Ihlas Bebou,295.0,442.0,14.0,17.0
Uffe Bech,8.0,11.0,2.0,0.0
Andreas Beck,615.0,868.0,14.0,15.0
Jan Bednarek,591.0,849.0,7.0,2.0
Andrea Beghetto,696.0,1095.0,50.0,54.0
Asmir Begović,431.0,633.0,0.0,0.0
Valon Behrami,396.0,492.0,6.0,0.0
Hanno Behrens,620.0,909.0,19.0,14.0
Ishak Belfodil,326.0,455.0,26.0,9.0
Stefan Bell,969.0,1211.0,20.0,19.0
Karim Bellarabi,342.0,493.0,23.0,32.0
Héctor Bellerín,794.0,947.0,9.0,27.0
Andrea Belotti,529.0,809.0,34.0,25.0
Fran Beltrán,798.0,884.0,11.0,6.0
Hatem Ben Arfa,747.0,926.0,35.0,28.0
Wissam Ben Yedder,578.0,788.0,41.0,27.0
Diego Benaglio,459.0,618.0,0.0,0.0
Marco Benassi,632.0,837.0,25.0,22.0
Medhi Benatia,292.0,324.0,0.0,0.0
Lars Bender,785.0,944.0,12.0,11.0
Sven Bender,1499.0,1647.0,3.0,3.0
László Bénes,11.0,17.0,0.0,0.0
Nicolas Benezet,624.0,911.0,45.0,18.0
Walter Benítez,895.0,1143.0,0.0,0.0
Ismaël Bennacer,1664.0,1997.0,34.0,26.0
Joe Bennett,640.0,947.0,13.0,14.0
Ryan Bennett,1095.0,1387.0,5.0,2.0
Yassine Benrahou,81.0,111.0,2.0,1.0
Ramy Bensebaini,991.0,1267.0,12.0,13.0
Nabil Bentaleb,740.0,959.0,15.0,10.0
Rodrigo Bentancur,1072.0,1239.0,21.0,23.0
Christian Benteke,139.0,243.0,8.0,2.0
Karim Benzema,1011.0,1212.0,48.0,58.0
Yassine Benzia,81.0,100.0,5.0,3.0
Domenico Berardi,955.0,1333.0,51.0,58.0
Yuri Berchiche,1392.0,1734.0,18.0,33.0
Álex Berenguer,529.0,753.0,36.0,26.0
Bartosz Bereszyński,1304.0,1586.0,10.0,19.0
Jóhann Berg Guðmundsson,407.0,610.0,40.0,22.0
Markel Bergara,15.0,21.0,0.0,1.0
Robert Berić,137.0,194.0,9.0,4.0
Etrit Berisha,343.0,476.0,0.0,0.0
Valon Berisha,123.0,152.0,4.0,2.0
Bernard,633.0,867.0,40.0,34.0
Federico Bernardeschi,548.0,713.0,33.0,22.0
Bernardo,735.0,1014.0,9.0,10.0
Paul Bernardoni,627.0,1113.0,5.0,1.0
Juan Bernat,1063.0,1202.0,23.0,18.0
Antoine Bernede,158.0,166.0,1.0,1.0
Dimitry Bertaud,18.0,36.0,0.0,0.0
Ryan Bertrand,795.0,1094.0,23.0,29.0
Daniel Bessa,899.0,1106.0,42.0,37.0
Marcus Bettinelli,154.0,237.0,0.0,1.0
Louis Beyer,405.0,465.0,1.0,0.0
Jonathan Biabiany,238.0,325.0,9.0,9.0
Giulian Biancone,35.0,48.0,0.0,3.0
Ermin Bičakčić,1033.0,1171.0,5.0,6.0
Pedro Bigas,249.0,307.0,1.0,2.0
Lucas Biglia,753.0,825.0,12.0,7.0
Philip Billing,912.0,1251.0,17.0,21.0
Cristiano Biraghi,1379.0,1958.0,64.0,59.0
Davide Biraschi,849.0,1288.0,7.0,18.0
Valter Birsa,192.0,244.0,8.0,6.0
Valter Birsa,408.0,564.0,27.0,18.0
Yves Bissouma,596.0,727.0,14.0,7.0
Leonardo Bittencourt,363.0,492.0,17.0,16.0
Alejandro Blanco,4.0,6.0,0.0,0.0
Rubén Blanco,529.0,813.0,2.0,1.0
Ludovic Blas,716.0,939.0,18.0,18.0
Pablo de Blasis,14.0,29.0,1.0,2.0
Pablo de Blasis,554.0,793.0,21.0,31.0
Alexis Blin,761.0,928.0,9.0,8.0
Danny Blum,1.0,2.0,0.0,0.0
Emmanuel Boateng,70.0,107.0,2.0,1.0
Jérôme Boateng,1431.0,1624.0,9.0,16.0
Kevin-Prince Boateng,49.0,65.0,2.0,0.0
Kevin-Prince Boateng,255.0,320.0,15.0,6.0
Antonin Bobichon,729.0,891.0,28.0,7.0
Yann Bodiger,9.0,13.0,0.0,0.0
Mathieu Bodmer,446.0,636.0,16.0,12.0
Adam Bodzek,586.0,682.0,9.0,4.0
Jean-Paul Boëtius,680.0,881.0,29.0,29.0
Sacha Boey,1.0,2.0,0.0,0.0
Jeremie Boga,419.0,494.0,15.0,11.0
Willy Boly,1392.0,1695.0,10.0,7.0
Léo Bonatini,41.0,55.0,2.0,3.0
Giacomo Bonaventura,327.0,374.0,10.0,15.0
Daniele Bonera,86.0,94.0,0.0,0.0
Gaëtan Bong,598.0,879.0,8.0,18.0
Kevin Bonifazi,1076.0,1222.0,8.0,10.0
Leonardo Bonucci,1399.0,1610.0,7.0,17.0
Fabio Borini,263.0,381.0,12.0,7.0
Robin Bormuth,225.0,279.0,2.0,0.0
Artur Boruc,225.0,350.0,0.0,0.0
Olivier Boscagli,503.0,648.0,11.0,5.0
Gabriel Boschilia,422.0,554.0,33.0,16.0
John Bostock,508.0,606.0,8.0,3.0
Denis Bouanga,456.0,678.0,31.0,23.0
Zacharie Boucher,30.0,54.0,0.0,0.0
Ryad Boudebouz,300.0,391.0,17.0,13.0
Ryad Boudebouz,278.0,343.0,10.0,10.0
Sofiane Boufal,674.0,885.0,39.0,38.0
Nassim Boujellab,80.0,105.0,1.0,3.0
Arnold Bouka Moutou,20.0,28.0,0.0,0.0
Yassine Bounou,641.0,963.0,0.0,0.0
Mehdi Bourabia,888.0,1086.0,26.0,13.0
Benjamin Bourigeaud,922.0,1227.0,37.0,24.0
Bilal Boutobba,11.0,13.0,0.0,1.0
Umut Bozok,223.0,301.0,12.0,6.0
Filip Bradarić,883.0,1042.0,10.0,24.0
Robbie Brady,162.0,287.0,13.0,11.0
Martin Braithwaite,184.0,249.0,14.0,4.0
Julian Brandt,1453.0,1876.0,83.0,63.0
Darko Brašanac,494.0,617.0,9.0,5.0
Pedro Brazão,5.0,5.0,1.0,0.0
Fabian Bredlow,328.0,465.0,0.0,1.0
Josip Brekalo,421.0,604.0,21.0,25.0
Gleison Bremer,85.0,103.0,1.0,0.0
Joshua Brenet,417.0,522.0,9.0,17.0
Rajko Brežančić,15.0,24.0,0.0,0.0
Anthony Briançon,1042.0,1263.0,6.0,4.0
Jimmy Briand,521.0,713.0,35.0,17.0
Nicolò Brighenti,440.0,556.0,3.0,2.0
Matteo Brighi,72.0,91.0,1.0,2.0
Enrico Brignola,59.0,73.0,1.0,1.0
Miguel Britos,48.0,56.0,0.0,0.0
David Brooks,649.0,879.0,29.0,40.0
John Brooks,1491.0,1728.0,3.0,4.0
Daniel Brosinski,945.0,1342.0,41.0,36.0
Marcelo Brozović,2301.0,2647.0,49.0,46.0
Bruma,288.0,355.0,9.0,6.0
Jeffrey Bruma,253.0,307.0,0.0,3.0
Bruno,506.0,634.0,6.0,9.0
Jacob Bruun Larsen,417.0,535.0,18.0,14.0
Bryan,54.0,81.0,2.0,2.0
Joe Bryan,907.0,1291.0,23.0,24.0
Gianluigi Buffon,367.0,402.0,0.0,0.0
Niko Bungert,100.0,112.0,1.0,0.0
Guido Burgstaller,195.0,302.0,11.0,9.0
Burgui,167.0,212.0,11.0,7.0
Jonathan Burkardt,34.0,57.0,5.0,4.0
Roman Bürki,747.0,1066.0,0.0,0.0
Patrick Burner,629.0,742.0,5.0,6.0
Sergio Busquets,2163.0,2397.0,15.0,15.0
Gaëtan Bussmann,40.0,57.0,0.0,0.0
Unai Bustinza,708.0,1011.0,11.0,13.0
Ludovic Butelle,607.0,971.0,2.0,0.0
David Button,48.0,108.0,0.0,0.0
Jakub Błaszczykowski,2.0,2.0,0.0,0.0
Erick Cabaco,516.0,708.0,3.0,6.0
Willy Caballero,51.0,63.0,0.0,0.0
Rémy Cabella,1757.0,2100.0,57.0,57.0
Gustavo Cabral,807.0,926.0,4.0,2.0
Rafael Cabral,46.0,64.0,0.0,0.0
Leandro Cabrera,576.0,1073.0,4.0,9.0
Fabrizio Cacciatore,293.0,375.0,5.0,7.0
Fabrizio Cacciatore,198.0,267.0,9.0,11.0
Martín Cáceres,128.0,154.0,0.0,0.0
Martín Cáceres,420.0,461.0,1.0,0.0
Anthony Caci,1153.0,1414.0,11.0,18.0
Mathieu Cafaro,456.0,747.0,39.0,22.0
Gary Cahill,18.0,20.0,0.0,0.0
Yannick Cahuzac,448.0,547.0,6.0,2.0
