Player Name,Passes Completed,Passes Attempted,Key Passes,Completed Passes into PA
Angel Gomes,31.0,36.0,2.0,2.0
Angeliño,1606.0,2150.0,62.0,76.0
Angelo Fulgini,2600.0,3337.0,136.0,94.0
Angelo Ndrecka,40.0,48.0,1.0,1.0
Angelo Ogbonna,2769.0,3448.0,18.0,13.0
Angelo da Costa Júnior,385.0,476.0,0.0,1.0
Angus Gunn,230.0,563.0,0.0,1.0
Ansu Fati,620.0,743.0,26.0,20.0
Ante Budimir,739.0,1136.0,35.0,16.0
Ante Palaversa,8.0,11.0,2.0,0.0
Ante Rebić,969.0,1681.0,106.0,89.0
Ante Ćorić,10.0,14.0,1.0,0.0
Anthony Briançon,2209.0,2643.0,11.0,9.0
Anthony Caci,2250.0,2817.0,29.0,46.0
Anthony Gonçalves,878.0,1310.0,46.0,43.0
Anthony Gordon,118.0,150.0,7.0,3.0
Anthony Knockaert,1364.0,1817.0,78.0,40.0
Anthony Limbombe,369.0,519.0,26.0,18.0
Anthony Lopes,2661.0,3292.0,1.0,2.0
Anthony Lozano,286.0,450.0,14.0,12.0
Anthony Martial,2008.0,2561.0,106.0,103.0
Anthony Modeste,156.0,279.0,4.0,5.0
Anthony Racioppi,203.0,312.0,0.0,0.0
Anthony Ujah,307.0,491.0,23.0,11.0
Anthony Walongwa,51.0,63.0,0.0,0.0
Anto Grgić,10.0,10.0,0.0,0.0
Antoine Bernede,158.0,166.0,1.0,1.0
Antoine Griezmann,3401.0,4316.0,166.0,162.0
Antoine Valerio,25.0,35.0,0.0,0.0
Antonee Robinson,565.0,778.0,19.0,24.0
Antonin Bobichon,1182.0,1472.0,47.0,14.0
Antonino Barillà,1006.0,1369.0,33.0,19.0
Antonino La Gumina,180.0,224.0,8.0,3.0
Antonino Ragusa,184.0,267.0,12.0,10.0
Antonio Adán,730.0,1065.0,2.0,1.0
Antonio Barragán,2817.0,3455.0,43.0,72.0
Antonio Barreca,723.0,1011.0,16.0,20.0
Antonio Candreva,2802.0,3876.0,160.0,171.0
Antonio Caracciolo,788.0,978.0,3.0,2.0
Antonio Cioffi,10.0,11.0,1.0,1.0
Antonio Cortés,19.0,38.0,2.0,0.0
Antonio Di Gaudio,68.0,119.0,4.0,2.0
Antonio Luna,1127.0,1610.0,28.0,43.0
Antonio Mance,8.0,13.0,0.0,0.0
Antonio Mazzotta,7.0,11.0,0.0,0.0
Antonio Mirante,1484.0,2056.0,1.0,0.0
Antonio Palumbo,1.0,1.0,0.0,0.0
Antonio Puertas,742.0,1096.0,22.0,23.0
Antonio Raillo,959.0,1155.0,3.0,2.0
Antonio Rosati,27.0,37.0,0.0,0.0
Antonio Rukavina,473.0,617.0,12.0,11.0
Antonio Rüdiger,5422.0,6049.0,12.0,22.0
Antonio Sanabria,792.0,1039.0,28.0,13.0
Antonio Santurro,18.0,42.0,0.0,0.0
Antonio Sivera,97.0,197.0,1.0,0.0
Antonio Valencia,1826.0,2221.0,30.0,29.0
Antonis Aidonis,14.0,34.0,0.0,2.0
Antony Evans,39.0,71.0,6.0,3.0
Antonín Barák,2093.0,2638.0,61.0,58.0
Antoñito,992.0,1354.0,33.0,34.0
Antwoine Hackford,1.0,1.0,0.0,0.0
Anuar,392.0,502.0,3.0,3.0
Anwar El Ghazi,955.0,1431.0,70.0,47.0
Aníbal Chalá,199.0,253.0,3.0,1.0
Arber Zeneli,411.0,562.0,33.0,26.0
Ardian Ismajli,114.0,130.0,0.0,0.0
Aridane Hernández,952.0,1191.0,9.0,5.0
Ariday Cabrera,9.0,11.0,0.0,0.0
Aristóteles Romero,36.0,49.0,1.0,0.0
Aritz Aduriz,511.0,803.0,16.0,13.0
Aritz Arambarri,15.0,20.0,0.0,0.0
Aritz Elustondo,3073.0,3712.0,19.0,23.0
Arjen Robben,970.0,1201.0,47.0,78.0
Arkadiusz Milik,1000.0,1216.0,62.0,37.0
Arkadiusz Reca,1174.0,1637.0,41.0,38.0
Arlind Ajeti,286.0,365.0,5.0,2.0
Armand Lauriente,212.0,278.0,24.0,11.0
Armando Broja,2.0,2.0,0.0,0.0
Armando Izzo,3496.0,4454.0,27.0,37.0
Armando Sadiku,49.0,68.0,2.0,0.0
Arnaud Kalimuendo,130.0,165.0,5.0,6.0
Arnaud Lusamba,455.0,534.0,21.0,6.0
Arnaud Nordin,675.0,876.0,31.0,30.0
Arnaud Souquet,2421.0,3002.0,32.0,48.0
Arnaut Groeneveld,181.0,227.0,5.0,5.0
Arne Maier,1911.0,2261.0,39.0,33.0
Arnold Bouka Moutou,131.0,171.0,4.0,4.0
Aron Gunnarsson,607.0,926.0,13.0,11.0
Aron Jóhannsson,79.0,105.0,7.0,4.0
Arona Sané,9.0,14.0,0.0,0.0
Arthur Masuaku,2381.0,3069.0,50.0,49.0
Arthur Melo,2708.0,2927.0,34.0,24.0
Arthur Zagre,12.0,15.0,0.0,0.0
Arton Zekaj,1.0,2.0,0.0,0.0
Artur Boruc,225.0,350.0,0.0,0.0
Artur Ioniță,2673.0,3331.0,51.0,37.0
Arturo Calabresi,1295.0,1693.0,15.0,19.0
Arturo Vidal,4022.0,4537.0,77.0,74.0
Ashley Barnes,951.0,1541.0,52.0,39.0
Ashley Westwood,3676.0,4929.0,124.0,109.0
Ashley Williams,600.0,773.0,2.0,2.0
Ashley Young,4040.0,5355.0,126.0,127.0
Asier Illarramendi,3371.0,3907.0,45.0,50.0
Asier Riesgo,228.0,412.0,0.0,0.0
Asier Villalibre,154.0,239.0,4.0,7.0
Asmir Begović,983.0,1560.0,1.0,0.0
Assane Dioussé,1278.0,1537.0,18.0,10.0
Assil Jaziri,18.0,25.0,1.0,4.0
Atakan Karazor,192.0,223.0,0.0,0.0
Augusto Fernández,115.0,144.0,2.0,3.0
Augustus Kargbo,6.0,9.0,0.0,0.0
Aurélien Chedjou,828.0,994.0,2.0,2.0
Aurélien Scheidler,57.0,76.0,4.0,2.0
Aurélien Tchouaméni,1613.0,1922.0,16.0,14.0
Axel Disasi,2076.0,2418.0,7.0,12.0
Axel Tuanzebe,149.0,167.0,0.0,0.0
Axel Werner,80.0,172.0,0.0,0.0
Axel Witsel,4699.0,5013.0,34.0,26.0
Aymen Abdennour,304.0,336.0,0.0,0.0
Aymen Barkok,500.0,683.0,31.0,28.0
Aymeric Laporte,5633.0,6219.0,26.0,21.0
Ayoze Pérez,1889.0,2523.0,109.0,91.0
Aythami Artiles,75.0,90.0,0.0,0.0
Aïssa Mandi,6544.0,7139.0,28.0,16.0
Baba Rahman,579.0,735.0,6.0,8.0
Babacar Guèye,22.0,26.0,2.0,0.0
Bacary Sagna,681.0,773.0,12.0,5.0
Badou Ndiaye,281.0,355.0,5.0,6.0
Bafodé Diakité,839.0,1014.0,3.0,4.0
Bailey Peacock-Farrell,14.0,32.0,0.0,0.0
Baissama Sankoh,591.0,743.0,9.0,4.0
Bakary Koné,873.0,1035.0,2.0,4.0
Bakary Sako,104.0,164.0,7.0,5.0
Bakaye Dibassy,2815.0,3647.0,17.0,20.0
Bakery Jatta,66.0,102.0,2.0,2.0
Bandiougou Fadiga,33.0,34.0,0.0,1.0
Baptiste Gabard,39.0,48.0,1.0,2.0
Baptiste Guillaume,235.0,362.0,14.0,9.0
Baptiste Reynet,2692.0,4041.0,7.0,3.0
Baptiste Santamaria,3909.0,4806.0,51.0,37.0
Barri,14.0,23.0,0.0,0.0
Bartosz Bereszyński,4052.0,5061.0,33.0,61.0
Bartosz Bialek,29.0,44.0,3.0,4.0
Bartosz Kapustka,46.0,77.0,0.0,0.0
Bartosz Salamon,1466.0,1813.0,5.0,16.0
Bartłomiej Drągowski,1454.0,2078.0,2.0,1.0
Bas Dost,476.0,773.0,29.0,12.0
Bassem Srarfi,607.0,754.0,18.0,15.0
Bastian Badu,6.0,6.0,0.0,0.0
Bastian Oczipka,3748.0,4994.0,167.0,97.0
Bastos,1672.0,1874.0,5.0,5.0
Batista Mendy,23.0,28.0,0.0,0.0
Bebé,428.0,711.0,29.0,22.0
Ben Chilwell,4850.0,6541.0,112.0,99.0
Ben Davies,3439.0,4447.0,74.0,77.0
Ben Foster,1561.0,3326.0,8.0,4.0
Ben Gibson,21.0,32.0,0.0,0.0
Ben Godfrey,1780.0,2056.0,3.0,5.0
Ben Hamer,134.0,260.0,0.0,0.0
Ben Johnson,174.0,244.0,2.0,4.0
Ben Mee,3128.0,4191.0,21.0,9.0
Ben Osborn,527.0,705.0,17.0,16.0
Ben Watson,201.0,248.0,3.0,1.0
Ben White,706.0,858.0,5.0,13.0
Ben Wilmot,88.0,109.0,0.0,2.0
Ben Woodburn,7.0,8.0,0.0,0.0
Ben Zolinski,274.0,364.0,14.0,6.0
Benedikt Höwedes,193.0,213.0,2.0,2.0
Beni Baningime,67.0,82.0,0.0,1.0
Benik Afobe,106.0,145.0,2.0,3.0
Benito Raman,672.0,1008.0,50.0,44.0
Benito Ramírez,44.0,76.0,2.0,0.0
Benjamin André,4516.0,5628.0,75.0,61.0
Benjamin Bourigeaud,3950.0,5272.0,195.0,96.0
