Player Name,League,Position,Age,Matches Played,Starts,90s Played,Goals,Assists,Yellow Cards,Red Cards
Conor Coady,Premier League,DF,27.0,94,94,93.7,0,0,13,0
Conor Gallagher,Premier League,MF,20.0,14,14,13.9,2,0,6,0
Conor Hourihane,Premier League,MF,29.0,31,21,19.5,4,6,4,0
Conor Townsend,Premier League,DF,27.0,8,8,7.8,0,0,0,0
Corentin Jean,Ligue 1,"FW,MF",25.0,66,27,29.700000000000003,1,4,5,0
Corentin Tolisso,Bundesliga,MF,26.0,53,31,32.1,8,6,3,1
Costel Pantilimon,La Liga,GK,30.0,6,6,6.0,0,0,0,0
Craig Cathcart,Premier League,DF,30.0,72,68,67.8,3,0,10,0
Craig Dawson,Premier League,DF,30.0,61,58,58.099999999999994,4,0,12,0
Cristhian Stuani,La Liga,FW,31.0,65,62,60.2,40,0,17,0
Cristian Ansaldi,Serie A,DF,34.0,87,68,65.0,9,9,18,2
Cristian Battocchio,Ligue 1,"MF,FW",28.0,39,18,19.4,3,1,1,0
Cristian Benavente,Ligue 1,"MF,FW",25.0,12,4,3.9,0,1,0,0
Cristian Dell'Orco,Serie A,DF,26.0,42,30,30.7,1,2,3,1
Cristian Ganea,La Liga,MF,26.0,1,1,0.5,0,0,0,0
Cristian López,Ligue 1,FW,29.0,19,2,4.1,2,0,2,0
Cristian Molinaro,Serie A,"DF,MF",35.0,34,30,30.299999999999997,0,1,4,0
Cristian Rivera,La Liga,MF,22.0,34,24,25.0,2,0,5,0
Cristian Romero,Serie A,DF,22.0,70,69,66.2,3,4,32,3
Cristian Tello,La Liga,"FW,MF",29.0,103,42,53.099999999999994,14,8,6,0
Cristiano Biraghi,Serie A,DF,28.0,113,104,102.1,5,18,24,0
Cristiano Lombardi,Serie A,"DF,MF",21.0,17,13,12.4,0,2,3,0
Cristiano Piccini,Serie A,DF,28.0,26,22,22.3,1,0,3,0
Cristiano Ronaldo,Serie A,FW,35.0,105,103,100.79999999999998,93,19,7,0
Cristián Zapata,Serie A,DF,34.0,53,50,48.3,1,0,10,0
Cristo González,La Liga,FW,20.0,1,0,0.5,0,0,0,0
Cristóbal Montiel Rodríguez,Serie A,FW,18.0,1,0,0.1,0,0,0,0
Cucho,La Liga,"FW,MF",21.0,70,56,52.4,11,7,14,1
Cuco Martina,Premier League,DF,27.0,21,20,20.3,0,2,2,0
Curtis Jones,Premier League,MF,19.0,18,8,9.0,1,0,1,0
Cyril Théréau,Serie A,"FW,MF",35.0,29,19,16.200000000000003,7,2,3,0
Cyrus Christie,Premier League,DF,25.0,28,19,21.6,0,1,7,0
Cédric Bakambu,La Liga,FW,26.0,15,15,14.0,9,0,5,0
Cédric Brunner,Bundesliga,DF,26.0,15,14,14.1,0,0,3,0
Cédric Soares,Premier League,DF,29.0,77,71,68.89999999999999,2,8,8,0
Cédric Varrault,Ligue 1,DF,37.0,11,10,9.8,1,0,0,0
Cédric Yamberé,Ligue 1,DF,27.0,65,61,62.7,3,0,11,2
César Azpilicueta,Premier League,DF,31.0,120,118,118.29999999999998,5,18,9,0
Daam Foulon,Serie A,DF,21.0,14,7,7.2,0,1,4,0
Daan Dierckx,Serie A,DF,17.0,1,1,1.0,0,0,0,0
Daichi Kamada,Bundesliga,"MF,FW",24.0,47,37,35.9,4,9,7,0
Daishawn Redan,Bundesliga,"FW,MF",19.0,6,0,0.7,0,0,0,0
Dalbert Henrique,Ligue 1,DF,27.0,60,45,44.6,0,6,12,1
Dale Stephens,Premier League,MF,31.0,104,96,94.3,1,5,20,1
Daley Blind,Premier League,"DF,MF",27.0,7,4,4.0,0,0,0,0
Daley Sinkgraven,Bundesliga,DF,25.0,28,24,22.1,0,1,4,0
Damian Kądzior,La Liga,"FW,MF",28.0,6,2,2.2,0,0,0,0
Damien Da Silva,Ligue 1,DF,32.0,107,106,105.3,11,3,18,0
Damien Delaney,Premier League,DF,36.0,2,1,1.1,0,0,0,0
Damien Le Tallec,Ligue 1,"MF,DF",30.0,75,67,66.2,5,0,7,1
Damir Ceter,Serie A,"FW,MF",19.0,6,1,2.2,0,0,0,0
Damián Musto,La Liga,MF,31.0,24,20,18.7,0,0,11,0
