Player Name,League,Position,Age,Matches Played,Starts,90s Played,Goals,Assists,Yellow Cards,Red Cards
Andrea Barzagli,Serie A,DF,36.0,25,14,16.1,0,1,2,0
Daniele Baselli,Serie A,MF,25.0,32,30,28.0,4,0,13,2
Nicolas Basin,Ligue 1,DF,19.0,5,3,3.5,1,0,1,0
Dušan Basta,Serie A,"DF,MF",32.0,11,9,8.6,0,1,0,0
Gil Bastião Dias,Serie A,"FW,MF",20.0,27,9,13.2,2,3,1,0
Gil Bastião Dias,Ligue 1,FW,20.0,1,0,0.1,0,0,0,0
Samuel Bastien,Serie A,"MF,FW",20.0,21,15,15.1,1,0,3,2
Borja Bastón,La Liga,FW,24.0,20,8,11.0,2,0,2,0
Alessandro Bastoni,Serie A,DF,18.0,4,0,1.0,0,0,0,0
Bastos,Serie A,DF,26.0,21,16,15.6,4,0,4,0
Michy Batshuayi,Bundesliga,FW,23.0,10,9,9.3,7,1,2,0
Michy Batshuayi,Premier League,FW,23.0,12,3,4.0,2,1,0,0
Moritz Bauer,Premier League,"DF,MF",25.0,15,15,14.5,0,0,4,0
Robert Bauer,Bundesliga,DF,22.0,16,12,10.6,0,0,4,0
Oliver Baumann,Bundesliga,GK,27.0,34,34,34.0,0,0,0,0
Timo Baumgartl,Bundesliga,DF,21.0,29,29,29.0,0,0,4,0
Julian Baumgartlinger,Bundesliga,"MF,DF",29.0,22,17,15.5,1,0,3,0
Jon Bautista,La Liga,"FW,MF",22.0,11,1,2.1,1,0,0,0
Paul Baysse,Ligue 1,DF,29.0,8,6,6.3,0,0,0,1
Paul Baysse,La Liga,DF,29.0,15,13,13.8,1,0,1,0
Noah Joel Sarenren Bazee,Bundesliga,"FW,MF",20.0,7,0,1.3,0,0,1,0
Hervé Bazile,Ligue 1,"FW,MF",27.0,19,10,9.8,0,1,1,0
Riechedly Bazoer,Bundesliga,MF,20.0,13,6,6.6,0,0,2,0
Enrico Bearzotti,Serie A,"DF,FW",20.0,6,4,4.6,0,0,0,0
Claudio Beauvue,La Liga,FW,29.0,28,17,18.6,2,0,4,0
Bebé,La Liga,"MF,FW",27.0,9,3,4.1,0,1,0,0
Ihlas Bebou,Bundesliga,"MF,FW",23.0,30,20,23.8,5,2,3,0
Andreas Beck,Bundesliga,"DF,MF",30.0,23,22,21.4,1,1,5,0
Henri Bedimo,Ligue 1,"DF,MF",33.0,3,0,0.5,0,0,0,0
Jan Bednarek,Premier League,DF,21.0,5,5,4.7,1,0,1,0
Asmir Begović,Premier League,GK,30.0,38,38,38.0,0,0,2,0
Valon Behrami,Serie A,MF,32.0,20,18,15.5,1,0,5,0
Vid Belec,Serie A,GK,27.0,13,13,12.4,0,0,1,1
Vid Belec,Serie A,GK,27.0,2,2,2.0,0,0,0,0
Ishak Belfodil,Bundesliga,FW,25.0,26,13,15.0,4,1,1,0
Stefan Bell,Bundesliga,DF,25.0,25,24,24.2,1,0,8,0
Karim Bellarabi,Bundesliga,"FW,MF",27.0,24,13,12.7,1,3,2,0
Héctor Bellerín,Premier League,"DF,MF",22.0,35,34,33.9,2,3,5,0
François Bellugou,Ligue 1,MF,30.0,30,27,24.2,0,0,6,1
Andrea Belotti,Serie A,FW,23.0,32,29,29.8,10,5,2,0
Chaouki Ben Saada,Ligue 1,"FW,MF",33.0,16,2,3.8,0,0,3,0
