Player Name,League,Position,Age,Matches Played,Starts,90s Played,Goals,Assists,Yellow Cards,Red Cards,Total Shots,Shots on Target,Passes Completed,Passes Attempted,Key Passes,Completed Passes into PA,Players Dribbled Past,Dribbles into PA,Current Market Value (USD)
Gaëtan Laborde,Ligue 1,FW,26.0,105.0,93.0,88.0,26.0,15.0,5.0,1.0,232.0,87.0,1575.0,2369.0,94.0,61.0,135.0,70.0,14300000.0
Moussa Djenepo,Premier League,MF,22.0,31.0,20.0,18.0,3.0,2.0,7.0,1.0,29.0,9.0,364.0,499.0,19.0,22.0,75.0,17.0,14300000.0
Fabian Schär,Premier League,DF,29.0,82.0,73.0,74.1,8.0,3.0,29.0,0.0,63.0,20.0,2287.0,3103.0,20.0,23.0,42.0,7.0,14300000.0
Yves Bissouma,Premier League,MF,24.0,91.0,63.0,66.69999999999999,4.0,0.0,17.0,1.0,109.0,18.0,2655.0,3166.0,36.0,32.0,156.0,27.0,14300000.0
John Egan,Premier League,DF,28.0,54.0,54.0,52.5,2.0,0.0,10.0,2.0,35.0,5.0,1546.0,1848.0,2.0,6.0,3.0,0.0,14300000.0
Ruben Vargas,Bundesliga,"MF,FW",22.0,48.0,39.0,38.6,9.0,3.0,10.0,0.0,76.0,30.0,667.0,985.0,33.0,31.0,94.0,39.0,14300000.0
Javairô Dilrosun,Bundesliga,FW,22.0,47.0,25.0,27.5,6.0,6.0,4.0,0.0,31.0,11.0,567.0,778.0,30.0,25.0,74.0,35.0,13750000.0
Alban Lafont,Ligue 1,GK,21.0,119.0,119.0,118.5,0.0,0.0,10.0,0.0,1.0,0.0,2207.0,3484.0,4.0,7.0,2.0,0.0,13750000.0
Erick Pulgar,Serie A,MF,27.0,109.0,95.0,96.3,16.0,8.0,25.0,1.0,90.0,22.0,4448.0,5507.0,167.0,66.0,58.0,5.0,13750000.0
Reiss Nelson,Premier League,FW,21.0,45.0,14.0,16.5,8.0,0.0,1.0,0.0,33.0,17.0,478.0,595.0,27.0,26.0,45.0,13.0,13750000.0
Marko Rog,Serie A,MF,25.0,91.0,50.0,49.5,3.0,1.0,22.0,0.0,51.0,15.0,2150.0,2481.0,49.0,23.0,105.0,15.0,13200000.0
Gerard Piqué,La Liga,DF,33.0,108.0,107.0,106.3,7.0,2.0,31.0,0.0,56.0,22.0,6824.0,7451.0,20.0,13.0,32.0,1.0,13200000.0
Amir Rrahmani,Serie A,DF,26.0,39.0,37.0,36.6,0.0,1.0,5.0,0.0,43.0,12.0,1272.0,1570.0,13.0,5.0,14.0,1.0,13200000.0
Ezri Konsa,Premier League,DF,23.0,38.0,36.0,35.2,3.0,2.0,4.0,0.0,19.0,8.0,1005.0,1238.0,9.0,6.0,8.0,0.0,13200000.0
Gerard Deulofeu,Serie A,"FW,MF",26.0,83.0,64.0,59.800000000000004,16.0,12.0,7.0,0.0,149.0,56.0,1605.0,2196.0,98.0,92.0,144.0,136.0,13200000.0
Chris Wood,Premier League,FW,29.0,111.0,95.0,89.9,37.0,4.0,4.0,0.0,190.0,92.0,1169.0,1803.0,58.0,22.0,35.0,22.0,13200000.0
Philipp Lienhart,Bundesliga,DF,24.0,63.0,54.0,52.599999999999994,3.0,1.0,7.0,0.0,19.0,5.0,2189.0,2608.0,6.0,7.0,11.0,0.0,13200000.0
Martin Terrier,Ligue 1,"MF,FW",23.0,96.0,60.0,59.7,15.0,8.0,6.0,1.0,127.0,45.0,1449.0,1833.0,86.0,52.0,65.0,41.0,13200000.0
Santi Mina,La Liga,FW,25.0,111.0,71.0,69.5,26.0,11.0,12.0,0.0,149.0,60.0,1399.0,1896.0,49.0,35.0,61.0,34.0,13200000.0
Téji Savanier,Ligue 1,MF,29.0,65.0,63.0,60.5,15.0,19.0,16.0,2.0,120.0,30.0,2344.0,3409.0,153.0,43.0,159.0,14.0,13200000.0
Layvin Kurzawa,Ligue 1,DF,28.0,63.0,46.0,46.8,5.0,5.0,11.0,1.0,39.0,10.0,2461.0,2834.0,25.0,34.0,52.0,19.0,13200000.0
Colin Dagba,Ligue 1,DF,22.0,42.0,24.0,26.5,1.0,4.0,6.0,0.0,10.0,2.0,1469.0,1631.0,27.0,26.0,28.0,10.0,13200000.0
Santiago Arias,Bundesliga,DF,29.0,40.0,32.0,32.7,1.0,2.0,5.0,0.0,15.0,3.0,1366.0,1745.0,24.0,47.0,19.0,5.0,13200000.0
Matías Vecino,Serie A,MF,27.0,79.0,62.0,60.3,8.0,5.0,19.0,1.0,111.0,37.0,2772.0,3341.0,54.0,46.0,45.0,12.0,13200000.0
Patrick Cutrone,Serie A,"FW,MF",23.0,106.0,41.0,48.0,19.0,4.0,6.0,0.0,117.0,51.0,680.0,930.0,40.0,16.0,36.0,35.0,13200000.0
Tino Kadewere,Ligue 1,"FW,MF",25.0,19.0,15.0,13.5,7.0,3.0,2.0,0.0,40.0,14.0,260.0,360.0,13.0,13.0,14.0,14.0,13200000.0
Loren Morón,La Liga,"FW,MF",27.0,96.0,58.0,61.0,24.0,3.0,10.0,1.0,147.0,61.0,690.0,964.0,40.0,29.0,68.0,22.0,13200000.0
Domingos Duarte,La Liga,DF,25.0,51.0,48.0,47.599999999999994,4.0,1.0,9.0,1.0,13.0,5.0,1348.0,1695.0,4.0,7.0,10.0,0.0,13200000.0
Michail Antonio,Premier League,FW,30.0,89.0,66.0,66.3,24.0,8.0,8.0,0.0,194.0,82.0,1241.0,1948.0,61.0,48.0,204.0,70.0,13200000.0
Hélder Costa,Premier League,MF,27.0,36.0,24.0,22.4,3.0,4.0,3.0,0.0,34.0,11.0,544.0,717.0,25.0,30.0,45.0,18.0,13200000.0
Michy Batshuayi,Premier League,FW,27.0,75.0,30.0,35.1,16.0,4.0,5.0,0.0,108.0,41.0,526.0,736.0,22.0,15.0,46.0,20.0,13200000.0
Hugo Lloris,Premier League,GK,34.0,108.0,108.0,107.1,0.0,0.0,1.0,0.0,0.0,0.0,2382.0,3192.0,1.0,1.0,1.0,0.0,13200000.0
Diogo Dalot,Serie A,DF,21.0,28.0,17.0,16.5,0.0,2.0,5.0,0.0,20.0,2.0,632.0,851.0,18.0,15.0,16.0,13.0,13200000.0
Jérôme Boateng,Bundesliga,DF,32.0,77.0,75.0,69.7,1.0,7.0,13.0,1.0,40.0,8.0,5062.0,5743.0,28.0,62.0,9.0,2.0,13200000.0
Habib Diallo,Ligue 1,FW,25.0,45.0,38.0,38.1,19.0,6.0,3.0,1.0,101.0,38.0,502.0,732.0,40.0,15.0,45.0,17.0,13200000.0
Rolando Mandragora,Serie A,MF,23.0,104.0,95.0,94.3,5.0,4.0,18.0,1.0,148.0,32.0,2966.0,3708.0,93.0,57.0,35.0,15.0,13200000.0
Brais Méndez,La Liga,"MF,FW",24.0,97.0,65.0,64.8,10.0,11.0,11.0,0.0,128.0,51.0,2147.0,2841.0,74.0,75.0,90.0,30.0,13200000.0
Willi Orban,Bundesliga,DF,28.0,76.0,68.0,68.0,10.0,0.0,12.0,1.0,56.0,19.0,3210.0,3782.0,15.0,5.0,14.0,2.0,13200000.0
Mohammed Salisu,La Liga,DF,20.0,31.0,30.0,30.3,1.0,1.0,4.0,0.0,7.0,1.0,890.0,1056.0,2.0,1.0,5.0,0.0,13200000.0
Boulaye Dia,Ligue 1,"FW,MF",24.0,60.0,46.0,44.400000000000006,22.0,2.0,3.0,0.0,90.0,40.0,574.0,756.0,46.0,21.0,78.0,44.0,13200000.0
Demarai Gray,Premier League,FW,24.0,91.0,43.0,48.1,9.0,5.0,5.0,0.0,104.0,34.0,1261.0,1699.0,53.0,47.0,96.0,75.0,13200000.0
Grady Diangana,Premier League,"MF,FW",22.0,32.0,20.0,18.7,1.0,1.0,0.0,0.0,22.0,8.0,423.0,567.0,15.0,13.0,44.0,13.0,13200000.0
Ryan Fraser,Premier League,"MF,FW",26.0,100.0,82.0,84.0,13.0,22.0,6.0,1.0,110.0,50.0,2450.0,3593.0,179.0,146.0,44.0,87.0,13200000.0
Nick Pope,Premier League,GK,28.0,89.0,88.0,88.6,0.0,0.0,4.0,0.0,0.0,0.0,1238.0,2714.0,11.0,3.0,0.0,0.0,13200000.0
Benjamin Henrichs,Bundesliga,"MF,DF",23.0,66.0,46.0,48.9,1.0,3.0,9.0,1.0,43.0,7.0,1991.0,2672.0,43.0,59.0,40.0,22.0,13200000.0
Fran Beltrán,La Liga,"MF,FW",21.0,72.0,44.0,43.7,4.0,0.0,8.0,1.0,42.0,12.0,1847.0,2051.0,26.0,14.0,43.0,2.0,13200000.0
