Player Name,League,Position,Age,Matches Played,Starts,90s Played,Goals,Assists,Yellow Cards,Red Cards,Total Shots,Shots on Target,Passes Completed,Passes Attempted,Key Passes,Completed Passes into PA,Players Dribbled Past,Dribbles into PA
Borja Garcés,La Liga,"FW,MF",18.0,1.0,0.0,0.2,1.0,0.0,0.0,0.0,3.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0
Borja García,La Liga,"MF,FW",30.0,87.0,77.0,72.3,4.0,8.0,2.0,1.0,89.0,25.0,2695.0,3275.0,113.0,84.0,112.0,15.0
Borja Herrera,La Liga,DF,24.0,3.0,3.0,2.7,0.0,0.0,0.0,0.0,1.0,0.0,157.0,185.0,1.0,2.0,2.0,1.0
Borja Iglesias,La Liga,FW,28.0,85.0,60.0,60.5,21.0,5.0,10.0,1.0,128.0,48.0,775.0,1093.0,49.0,22.0,68.0,27.0
Borja Lasso,La Liga,MF,23.0,1.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,25.0,35.0,1.0,1.0,0.0,0.0
Borja Mayoral,Serie A,FW,23.0,91.0,46.0,49.5,17.0,7.0,3.0,0.0,96.0,47.0,940.0,1157.0,52.0,33.0,79.0,29.0
Borja Sainz,La Liga,"MF,FW",19.0,33.0,7.0,9.9,2.0,0.0,1.0,0.0,15.0,8.0,151.0,208.0,7.0,8.0,19.0,10.0
Borja Valero,Serie A,MF,36.0,93.0,52.0,55.2,4.0,1.0,13.0,0.0,45.0,11.0,3592.0,3954.0,67.0,62.0,48.0,15.0
Borja Valle,La Liga,"FW,MF",25.0,17.0,3.0,5.5,3.0,2.0,1.0,0.0,15.0,7.0,99.0,137.0,7.0,6.0,10.0,4.0
Borna Sosa,Bundesliga,DF,23.0,26.0,20.0,18.7,0.0,4.0,4.0,0.0,16.0,6.0,716.0,1022.0,37.0,38.0,31.0,11.0
Bosko Sutalo,Serie A,DF,21.0,12.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,260.0,300.0,3.0,2.0,4.0,0.0
Botond Balogh,Serie A,DF,18.0,2.0,1.0,1.6,0.0,0.0,1.0,0.0,0.0,0.0,51.0,70.0,0.0,0.0,1.0,0.0
Boubacar Kamara,Ligue 1,MF,21.0,79.0,74.0,72.1,2.0,3.0,17.0,1.0,38.0,12.0,3444.0,3983.0,24.0,21.0,44.0,8.0
Boubakar Kouyaté,Ligue 1,DF,23.0,11.0,8.0,8.4,0.0,0.0,3.0,0.0,6.0,1.0,230.0,270.0,1.0,0.0,1.0,0.0
Boubakary Soumaré,Ligue 1,MF,21.0,69.0,32.0,35.1,1.0,1.0,7.0,2.0,10.0,2.0,1891.0,2153.0,28.0,16.0,49.0,2.0
Boukary Dramé,Serie A,"DF,MF",32.0,5.0,1.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,45.0,58.0,0.0,1.0,1.0,0.0
Boulaye Dia,Ligue 1,"FW,MF",24.0,60.0,46.0,44.400000000000006,22.0,2.0,3.0,0.0,90.0,40.0,574.0,756.0,46.0,21.0,78.0,44.0
Bouna Sarr,Ligue 1,DF,28.0,90.0,71.0,72.6,2.0,7.0,11.0,1.0,69.0,8.0,3620.0,4384.0,78.0,89.0,152.0,26.0
Boštjan Cesar,Serie A,DF,36.0,24.0,16.0,18.1,1.0,0.0,4.0,0.0,5.0,1.0,517.0,623.0,1.0,0.0,3.0,0.0
Brahim Díaz,Serie A,"MF,FW",21.0,34.0,14.0,12.7,2.0,3.0,2.0,0.0,28.0,11.0,429.0,501.0,14.0,14.0,43.0,9.0
Brain Oddei,Serie A,MF,18.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,2.0,1.0,6.0,10.0,0.0,0.0,2.0,0.0
Brais Méndez,La Liga,"MF,FW",24.0,98.0,66.0,65.8,10.0,11.0,11.0,0.0,131.0,51.0,2147.0,2841.0,74.0,75.0,90.0,30.0
Bram Nuytinck,Serie A,DF,30.0,84.0,80.0,78.0,2.0,1.0,9.0,1.0,27.0,2.0,3029.0,3584.0,12.0,11.0,6.0,0.0
Brandon,La Liga,FW,24.0,19.0,8.0,8.5,1.0,1.0,4.0,0.0,15.0,6.0,168.0,235.0,11.0,10.0,7.0,6.0
Brandon Borrello,Bundesliga,"MF,FW",24.0,7.0,4.0,3.3,0.0,0.0,0.0,0.0,6.0,1.0,59.0,76.0,2.0,1.0,8.0,1.0
Brandon Pierrick,Premier League,"DF,FW",17.0,2.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,1.0,1.0,2.0,0.0
Brandon Soppy,Ligue 1,"DF,MF",18.0,5.0,3.0,3.3,0.0,0.0,0.0,0.0,3.0,1.0,140.0,183.0,1.0,4.0,5.0,2.0
Brandon Williams,Premier League,DF,20.0,18.0,11.0,11.299999999999999,1.0,0.0,6.0,0.0,6.0,2.0,537.0,643.0,13.0,19.0,15.0,8.0
Branimir Hrgota,Bundesliga,FW,25.0,7.0,2.0,2.3000000000000003,0.0,0.0,1.0,0.0,3.0,2.0,32.0,52.0,2.0,1.0,4.0,3.0
Branislav Ivanović,Premier League,DF,36.0,11.0,8.0,8.2,0.0,0.0,2.0,0.0,4.0,1.0,264.0,308.0,1.0,3.0,0.0,0.0
Brayan Vera,Serie A,"DF,MF",20.0,8.0,1.0,1.7,0.0,1.0,0.0,0.0,4.0,0.0,58.0,78.0,3.0,1.0,1.0,1.0
Breel Embolo,Bundesliga,"FW,MF",23.0,83.0,53.0,52.8,19.0,6.0,15.0,0.0,119.0,55.0,854.0,1170.0,48.0,31.0,123.0,41.0
Brendan Chardonnet,Ligue 1,DF,26.0,27.0,21.0,21.299999999999997,1.0,0.0,6.0,1.0,12.0,6.0,977.0,1133.0,4.0,2.0,4.0,0.0
Brian Behrendt,Bundesliga,DF,29.0,3.0,0.0,0.9,0.0,0.0,0.0,0.0,2.0,0.0,41.0,56.0,0.0,0.0,1.0,0.0
Brian Fernández,Ligue 1,FW,22.0,7.0,0.0,1.4,0.0,0.0,0.0,0.0,5.0,2.0,17.0,24.0,3.0,0.0,2.0,1.0
Brice Samba,Ligue 1,GK,24.0,42.0,41.0,41.5,0.0,0.0,1.0,0.0,0.0,0.0,798.0,1309.0,0.0,1.0,1.0,0.0
Bridge Ndilu,Ligue 1,"FW,MF",20.0,5.0,0.0,0.4,0.0,0.0,1.0,0.0,2.0,0.0,11.0,19.0,1.0,1.0,2.0,0.0
Bright Gyamfi,Serie A,"DF,MF",21.0,9.0,2.0,3.6,0.0,0.0,1.0,0.0,3.0,2.0,142.0,182.0,1.0,2.0,5.0,0.0
Brighton Labeau,Ligue 1,FW,21.0,2.0,0.0,0.3,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0
Brown Ideye,La Liga,FW,28.0,13.0,8.0,8.2,1.0,0.0,2.0,0.0,10.0,3.0,109.0,156.0,4.0,2.0,9.0,2.0
Bruma,Bundesliga,"MF,FW",23.0,42.0,22.0,24.0,5.0,3.0,1.0,0.0,53.0,20.0,961.0,1212.0,34.0,41.0,98.0,47.0
Bruno,Premier League,DF,37.0,39.0,37.0,35.0,0.0,1.0,5.0,0.0,4.0,1.0,1423.0,1817.0,17.0,21.0,22.0,6.0
Bruno Alves,Serie A,DF,39.0,80.0,78.0,76.2,4.0,1.0,16.0,1.0,44.0,8.0,2689.0,3238.0,18.0,8.0,8.0,0.0
Bruno Ecuele Manga,Ligue 1,DF,32.0,85.0,84.0,84.5,1.0,1.0,3.0,0.0,43.0,5.0,2722.0,3416.0,10.0,11.0,27.0,3.0
Bruno Fernandes,Premier League,MF,26.0,33.0,32.0,30.599999999999998,19.0,14.0,6.0,0.0,97.0,36.0,1384.0,1922.0,86.0,75.0,27.0,13.0
Bruno Gama,La Liga,"FW,MF",29.0,6.0,1.0,1.3,0.0,0.0,1.0,0.0,1.0,0.0,34.0,47.0,2.0,2.0,3.0,2.0
Bruno Gaspar,Serie A,DF,24.0,15.0,6.0,8.7,0.0,2.0,2.0,0.0,1.0,0.0,461.0,575.0,10.0,10.0,6.0,1.0
Bruno González,La Liga,DF,30.0,66.0,57.0,58.1,1.0,3.0,18.0,1.0,15.0,3.0,1193.0,1609.0,8.0,3.0,4.0,0.0
Bruno Guimarães,Ligue 1,MF,23.0,20.0,13.0,12.9,1.0,1.0,4.0,0.0,17.0,8.0,828.0,919.0,15.0,22.0,19.0,4.0
Bruno Jordão,Premier League,FW,20.0,4.0,1.0,1.1,0.0,0.0,0.0,0.0,1.0,0.0,38.0,47.0,1.0,0.0,3.0,1.0
Bruno Martella,Serie A,"DF,MF",26.0,54.0,43.0,43.2,1.0,3.0,6.0,0.0,33.0,7.0,1371.0,1958.0,40.0,53.0,40.0,7.0
Bruno Martins Indi,Premier League,DF,25.0,17.0,14.0,13.8,0.0,0.0,3.0,0.0,4.0,0.0,287.0,365.0,3.0,3.0,0.0,0.0
Bruno Peres,Serie A,DF,30.0,47.0,29.0,30.6,2.0,3.0,7.0,0.0,28.0,11.0,1447.0,1739.0,39.0,40.0,33.0,20.0
Bruno Petković,Serie A,"FW,MF",22.0,25.0,13.0,13.899999999999999,0.0,3.0,4.0,0.0,17.0,6.0,249.0,375.0,13.0,14.0,43.0,6.0
Bruno Soriano,La Liga,MF,35.0,7.0,1.0,2.9,0.0,0.0,1.0,0.0,1.0,1.0,252.0,267.0,0.0,1.0,2.0,0.0
Bruno Zuculini,Serie A,MF,24.0,16.0,15.0,13.5,2.0,0.0,6.0,5.0,7.0,2.0,525.0,629.0,1.0,1.0,5.0,0.0
Bryan,La Liga,"MF,FW",19.0,37.0,14.0,19.0,4.0,1.0,6.0,0.0,35.0,12.0,465.0,722.0,39.0,32.0,53.0,29.0
Bryan Cristante,Serie A,"DF,MF",25.0,113.0,85.0,85.6,14.0,10.0,25.0,1.0,162.0,43.0,3732.0,4599.0,91.0,96.0,116.0,10.0
Bryan Dabo,Serie A,MF,28.0,79.0,48.0,49.89999999999999,5.0,5.0,24.0,2.0,49.0,13.0,1789.0,2226.0,46.0,30.0,70.0,13.0
Bryan Mbeumo,Ligue 1,"FW,MF",17.0,4.0,0.0,0.7,0.0,0.0,0.0,0.0,3.0,1.0,13.0,24.0,0.0,1.0,1.0,1.0
Bryan Pelé,Ligue 1,"FW,MF",25.0,31.0,19.0,18.0,2.0,2.0,1.0,0.0,25.0,8.0,407.0,596.0,23.0,17.0,23.0,8.0
Bryan Soumaré,Ligue 1,"MF,FW",20.0,12.0,4.0,4.3,0.0,0.0,0.0,0.0,6.0,4.0,99.0,147.0,5.0,5.0,11.0,0.0
Bukayo Saka,Premier League,"FW,DF",19.0,44.0,35.0,35.3,5.0,6.0,6.0,0.0,53.0,20.0,1122.0,1477.0,42.0,35.0,57.0,35.0
Burak Yılmaz,Ligue 1,FW,35.0,18.0,15.0,14.9,9.0,4.0,4.0,0.0,43.0,19.0,277.0,370.0,16.0,2.0,7.0,10.0
Burgui,La Liga,MF,25.0,41.0,17.0,17.9,2.0,1.0,2.0,0.0,22.0,6.0,435.0,573.0,28.0,22.0,32.0,14.0
Cafú,Ligue 1,MF,24.0,10.0,8.0,7.5,0.0,0.0,2.0,0.0,5.0,3.0,231.0,281.0,4.0,2.0,7.0,0.0
Caio Henrique Oliveira Silva,Ligue 1,DF,23.0,13.0,9.0,9.4,0.0,2.0,0.0,0.0,1.0,0.0,425.0,522.0,10.0,15.0,4.0,3.0
Caiuby,Bundesliga,"FW,MF",30.0,47.0,42.0,42.9,6.0,8.0,11.0,0.0,108.0,34.0,976.0,1440.0,46.0,50.0,68.0,18.0
Cala,La Liga,DF,31.0,35.0,35.0,34.5,3.0,2.0,13.0,0.0,29.0,9.0,676.0,1060.0,5.0,2.0,5.0,0.0
Caleb Stanko,Bundesliga,"DF,MF",24.0,6.0,1.0,2.1,0.0,0.0,0.0,0.0,1.0,0.0,100.0,118.0,0.0,0.0,2.0,0.0
Callum Hudson-Odoi,Premier League,FW,20.0,44.0,14.0,18.9,3.0,7.0,1.0,0.0,39.0,11.0,796.0,975.0,41.0,57.0,55.0,54.0
Callum Paterson,Premier League,"FW,MF",23.0,27.0,21.0,22.2,4.0,1.0,4.0,0.0,39.0,7.0,281.0,584.0,19.0,18.0,13.0,6.0
Callum Robinson,Premier League,"FW,MF",25.0,34.0,21.0,18.9,3.0,1.0,1.0,0.0,29.0,8.0,327.0,464.0,14.0,11.0,25.0,13.0
Callum Slattery,Premier League,MF,19.0,3.0,1.0,1.2,0.0,0.0,0.0,0.0,2.0,0.0,21.0,32.0,0.0,1.0,1.0,0.0
Callum Wilson,Premier League,FW,28.0,109.0,100.0,98.10000000000001,38.0,15.0,15.0,0.0,192.0,77.0,1123.0,1657.0,83.0,57.0,102.0,66.0
Calum Chambers,Premier League,DF,24.0,57.0,52.0,50.599999999999994,3.0,1.0,15.0,0.0,56.0,17.0,2407.0,3012.0,21.0,25.0,48.0,3.0
Camillo Ciano,Serie A,"FW,MF",28.0,33.0,28.0,27.3,7.0,4.0,12.0,0.0,73.0,21.0,602.0,983.0,59.0,37.0,35.0,8.0
Can Bozdogan,Bundesliga,MF,19.0,12.0,5.0,7.1,0.0,0.0,2.0,1.0,11.0,3.0,151.0,202.0,3.0,0.0,15.0,2.0
Caoimhin Kelleher,Premier League,GK,22.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,28.0,0.0,0.0,0.0,0.0
Carl Jenkinson,Premier League,DF,26.0,3.0,2.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,72.0,92.0,0.0,1.0,0.0,0.0
Carles Aleñá,La Liga,MF,23.0,42.0,17.0,19.7,3.0,1.0,5.0,0.0,34.0,9.0,1109.0,1238.0,17.0,13.0,29.0,4.0
Carles Gil,La Liga,"FW,MF",24.0,10.0,6.0,5.3,0.0,2.0,0.0,0.0,10.0,2.0,186.0,217.0,9.0,11.0,9.0,4.0
Carles Planas,La Liga,"DF,MF",27.0,12.0,6.0,6.800000000000001,0.0,1.0,3.0,0.0,2.0,0.0,246.0,333.0,5.0,9.0,2.0,3.0
Carles Pérez,Serie A,"MF,FW",22.0,34.0,11.0,14.200000000000001,3.0,5.0,2.0,0.0,41.0,15.0,517.0,627.0,18.0,14.0,30.0,21.0
Carlo Pinsoglio,Serie A,GK,29.0,3.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,36.0,45.0,0.0,0.0,0.0,0.0
Carlos Akapo,La Liga,DF,27.0,20.0,17.0,16.3,0.0,0.0,4.0,1.0,8.0,2.0,453.0,612.0,3.0,7.0,14.0,6.0
Carlos Bacca,La Liga,FW,34.0,98.0,51.0,51.7,23.0,7.0,14.0,0.0,126.0,57.0,706.0,984.0,61.0,25.0,61.0,44.0
Carlos Calderón,La Liga,FW,22.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
Carlos Clerc,La Liga,DF,28.0,40.0,36.0,36.6,0.0,4.0,7.0,0.0,6.0,4.0,1393.0,1841.0,23.0,23.0,41.0,10.0
Carlos Fernández,La Liga,FW,24.0,41.0,25.0,27.6,11.0,3.0,8.0,0.0,53.0,21.0,436.0,701.0,20.0,8.0,38.0,5.0
Carlos Gruezo,Bundesliga,MF,25.0,27.0,24.0,23.4,0.0,1.0,6.0,0.0,16.0,0.0,622.0,755.0,9.0,3.0,13.0,0.0
Carlos Isaac,La Liga,DF,20.0,2.0,2.0,1.7,0.0,0.0,1.0,0.0,2.0,0.0,78.0,96.0,1.0,2.0,1.0,1.0
Carlos Martínez,La Liga,DF,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0
Carlos Neva,La Liga,DF,24.0,43.0,42.0,40.7,0.0,1.0,3.0,0.0,15.0,5.0,976.0,1392.0,14.0,18.0,13.0,0.0
Carlos Salcedo,Bundesliga,DF,24.0,26.0,23.0,23.0,0.0,0.0,8.0,0.0,8.0,3.0,997.0,1251.0,1.0,2.0,4.0,0.0
Carlos Soler,La Liga,MF,24.0,106.0,91.0,89.6,11.0,14.0,20.0,0.0,118.0,41.0,2676.0,3392.0,101.0,95.0,96.0,32.0
Carlos Sánchez,Premier League,"MF,DF",33.0,36.0,19.0,20.6,1.0,0.0,5.0,0.0,12.0,2.0,854.0,1019.0,6.0,4.0,21.0,0.0
Carlos Vela,La Liga,"FW,MF",28.0,13.0,2.0,4.4,1.0,0.0,0.0,0.0,10.0,3.0,163.0,207.0,12.0,9.0,17.0,4.0
Carlos Vigaray,La Liga,DF,23.0,20.0,16.0,17.2,0.0,0.0,7.0,0.0,5.0,0.0,383.0,558.0,7.0,11.0,10.0,0.0
Carlos Vinícius,Premier League,"FW,MF",25.0,20.0,3.0,6.1,2.0,1.0,3.0,0.0,18.0,8.0,60.0,114.0,7.0,4.0,14.0,2.0
Casemiro,La Liga,MF,28.0,109.0,105.0,102.3,15.0,6.0,34.0,1.0,125.0,36.0,5455.0,6357.0,48.0,59.0,62.0,8.0
Casimir Ninga,Ligue 1,FW,27.0,79.0,47.0,49.6,10.0,4.0,12.0,1.0,119.0,33.0,785.0,1074.0,49.0,30.0,106.0,39.0
Catena,La Liga,DF,23.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,78.0,88.0,0.0,0.0,0.0,0.0
Cauly Oliveira Souza,Bundesliga,"MF,FW",23.0,13.0,8.0,8.0,2.0,0.0,0.0,0.0,14.0,8.0,175.0,250.0,10.0,5.0,22.0,4.0
Cebio Soukou,Bundesliga,"FW,MF",28.0,10.0,5.0,4.4,1.0,0.0,1.0,0.0,5.0,1.0,83.0,95.0,3.0,2.0,5.0,2.0
Cedric Teuchert,Bundesliga,"MF,FW",24.0,22.0,5.0,7.0,3.0,1.0,0.0,0.0,23.0,11.0,87.0,125.0,5.0,0.0,9.0,10.0
Celso Borges,La Liga,MF,29.0,32.0,26.0,25.5,3.0,3.0,4.0,2.0,31.0,8.0,924.0,1209.0,22.0,11.0,25.0,0.0
Cengiz Ünder,Premier League,"MF,FW",23.0,76.0,43.0,41.2,13.0,11.0,3.0,0.0,123.0,40.0,1025.0,1453.0,81.0,81.0,93.0,39.0
Cenk Tosun,Premier League,FW,29.0,54.0,26.0,28.5,10.0,3.0,4.0,0.0,68.0,28.0,459.0,653.0,28.0,21.0,21.0,15.0
Cesar Falletti,Serie A,"FW,MF",24.0,13.0,1.0,3.6,1.0,0.0,1.0,0.0,10.0,3.0,136.0,176.0,4.0,8.0,11.0,4.0
Cesc Fàbregas,Ligue 1,MF,33.0,79.0,55.0,54.3,4.0,9.0,11.0,3.0,66.0,20.0,3609.0,4483.0,154.0,134.0,26.0,11.0
Chadrac Akolo,Ligue 1,"FW,MF",24.0,53.0,23.0,24.0,7.0,2.0,3.0,0.0,57.0,22.0,536.0,682.0,23.0,21.0,36.0,17.0
Chancel Mbemba,Premier League,DF,22.0,9.0,7.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,195.0,277.0,4.0,6.0,12.0,0.0
Chaouki Ben Saada,Ligue 1,"FW,MF",33.0,16.0,2.0,3.8,0.0,0.0,3.0,0.0,9.0,2.0,150.0,196.0,8.0,9.0,13.0,0.0
Charalambos Lykogiannis,Serie A,DF,27.0,57.0,45.0,45.099999999999994,2.0,4.0,12.0,1.0,38.0,10.0,1324.0,1995.0,22.0,27.0,33.0,4.0
Charles,La Liga,FW,35.0,94.0,48.0,51.3,28.0,2.0,17.0,1.0,131.0,48.0,909.0,1322.0,42.0,21.0,17.0,11.0
Charles Abi,Ligue 1,"FW,MF",20.0,26.0,9.0,10.600000000000001,1.0,0.0,2.0,0.0,10.0,2.0,116.0,205.0,7.0,7.0,24.0,6.0
Charles Aránguiz,Bundesliga,MF,31.0,84.0,77.0,74.6,4.0,13.0,11.0,0.0,72.0,13.0,4550.0,5251.0,78.0,66.0,61.0,12.0
Charles Traore,Ligue 1,DF,29.0,75.0,72.0,72.5,1.0,4.0,18.0,1.0,26.0,8.0,2769.0,3780.0,38.0,57.0,34.0,9.0
Charlie Adam,Premier League,MF,31.0,11.0,5.0,4.6,0.0,0.0,2.0,1.0,9.0,2.0,169.0,281.0,7.0,7.0,7.0,0.0
Charlie Austin,Premier League,FW,31.0,54.0,21.0,23.9,9.0,2.0,3.0,0.0,84.0,32.0,318.0,476.0,11.0,4.0,18.0,11.0
Charlie Daniels,Premier League,DF,32.0,58.0,53.0,52.4,2.0,3.0,4.0,0.0,34.0,9.0,2279.0,3036.0,41.0,52.0,36.0,17.0
Charlie Taylor,Premier League,DF,27.0,88.0,82.0,82.3,0.0,3.0,9.0,0.0,9.0,1.0,2723.0,3872.0,38.0,63.0,90.0,10.0
Charlison Benschop,Bundesliga,"MF,FW",27.0,7.0,2.0,2.0,1.0,0.0,0.0,0.0,5.0,1.0,37.0,54.0,2.0,0.0,1.0,0.0
Charly Charrier,Ligue 1,MF,31.0,3.0,1.0,1.2,0.0,0.0,0.0,0.0,1.0,0.0,53.0,71.0,1.0,0.0,0.0,0.0
Charly Musonda Jr.,Premier League,FW,20.0,3.0,0.0,0.4,0.0,0.0,0.0,0.0,2.0,0.0,14.0,16.0,1.0,1.0,1.0,0.0
Che Adams,Premier League,FW,24.0,47.0,29.0,28.0,8.0,6.0,1.0,0.0,67.0,24.0,421.0,607.0,29.0,14.0,27.0,14.0
Chechu,La Liga,DF,36.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,50.0,0.0,0.0,2.0,0.0
Cheick Diabaté,Serie A,"FW,MF",29.0,11.0,7.0,7.4,8.0,0.0,1.0,2.0,20.0,11.0,89.0,117.0,2.0,1.0,3.0,2.0
Cheick Doucouré,Ligue 1,MF,21.0,17.0,14.0,13.9,1.0,0.0,4.0,0.0,16.0,2.0,586.0,669.0,8.0,8.0,15.0,3.0
Cheick Doukouré,La Liga,MF,25.0,28.0,15.0,14.8,1.0,0.0,5.0,0.0,22.0,2.0,343.0,428.0,4.0,2.0,9.0,0.0
Cheick Keita,Serie A,DF,21.0,3.0,1.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,31.0,35.0,0.0,0.0,1.0,0.0
Cheick Timite,Ligue 1,"MF,FW",21.0,30.0,17.0,17.5,1.0,1.0,2.0,0.0,37.0,10.0,297.0,393.0,15.0,11.0,38.0,7.0
Cheick Traoré,Ligue 1,DF,23.0,20.0,16.0,16.8,0.0,0.0,3.0,0.0,8.0,2.0,412.0,683.0,14.0,14.0,23.0,10.0
Cheikh M'Bengue,Ligue 1,DF,29.0,7.0,6.0,5.4,0.0,1.0,2.0,0.0,1.0,1.0,158.0,211.0,1.0,3.0,0.0,0.0
Cheikh N'Doye,Ligue 1,MF,32.0,27.0,26.0,25.9,0.0,3.0,4.0,0.0,41.0,4.0,547.0,876.0,18.0,10.0,20.0,2.0
Cheikh Niasse,Ligue 1,MF,19.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0
Cheikh Tidiane Sabaly,Ligue 1,MF,21.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0
Cheikhou Kouyaté,Premier League,DF,31.0,117.0,100.0,98.00000000000001,4.0,6.0,12.0,0.0,72.0,19.0,2556.0,3328.0,40.0,19.0,64.0,5.0
Chema,La Liga,"DF,MF",28.0,52.0,43.0,42.8,3.0,0.0,21.0,2.0,17.0,5.0,959.0,1297.0,8.0,4.0,5.0,0.0
Chidozie Awaziem,La Liga,DF,22.0,48.0,37.0,39.0,1.0,0.0,12.0,1.0,24.0,2.0,1059.0,1402.0,7.0,11.0,9.0,0.0
Chima Okoroji,Bundesliga,"DF,MF",21.0,2.0,1.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,19.0,30.0,0.0,0.0,2.0,0.0
Chory Castro,La Liga,"MF,FW",32.0,26.0,26.0,22.8,4.0,2.0,5.0,2.0,31.0,10.0,655.0,999.0,35.0,33.0,20.0,11.0
Chris Basham,Premier League,"DF,MF",32.0,57.0,57.0,53.2,0.0,1.0,5.0,0.0,13.0,0.0,1599.0,2119.0,19.0,22.0,41.0,7.0
Chris Brunt,Premier League,"MF,DF",32.0,26.0,22.0,21.3,0.0,7.0,5.0,0.0,25.0,5.0,718.0,1055.0,37.0,26.0,19.0,2.0
Chris Führich,Bundesliga,"MF,FW",19.0,2.0,1.0,1.1,0.0,0.0,0.0,0.0,1.0,0.0,24.0,31.0,1.0,1.0,8.0,0.0
Chris Löwe,Premier League,"DF,MF",29.0,52.0,42.0,40.5,0.0,2.0,3.0,0.0,26.0,8.0,1322.0,1922.0,23.0,35.0,15.0,5.0
Chris Mepham,Premier League,DF,21.0,25.0,20.0,19.5,1.0,1.0,2.0,0.0,8.0,1.0,738.0,874.0,1.0,0.0,8.0,1.0
Chris Philipps,Ligue 1,"MF,DF",23.0,11.0,10.0,9.4,0.0,0.0,4.0,0.0,4.0,1.0,326.0,424.0,7.0,3.0,5.0,0.0
Chris Ramos,La Liga,FW,21.0,1.0,1.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0
Chris Richards,Bundesliga,DF,20.0,4.0,1.0,1.1,0.0,1.0,0.0,0.0,0.0,0.0,83.0,91.0,3.0,5.0,0.0,0.0
Chris Smalling,Serie A,DF,31.0,93.0,89.0,88.8,8.0,3.0,11.0,0.0,51.0,15.0,3512.0,3968.0,18.0,4.0,14.0,1.0
Chris Wood,Premier League,FW,29.0,111.0,95.0,89.9,37.0,4.0,4.0,0.0,190.0,92.0,1169.0,1803.0,58.0,22.0,35.0,22.0
Chrislain Matsima,Ligue 1,DF,18.0,6.0,3.0,3.7,0.0,0.0,2.0,0.0,4.0,0.0,227.0,254.0,2.0,2.0,3.0,0.0
Christian Atsu,Premier League,"FW,MF",27.0,75.0,40.0,44.7,3.0,5.0,5.0,0.0,68.0,28.0,861.0,1177.0,53.0,45.0,81.0,32.0
Christian Benteke,Premier League,FW,30.0,84.0,53.0,54.8,9.0,7.0,13.0,2.0,157.0,55.0,821.0,1397.0,60.0,30.0,48.0,19.0
Christian Celesia,Serie A,DF,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Christian Clemens,Bundesliga,"MF,FW",27.0,15.0,6.0,7.4,1.0,0.0,2.0,0.0,17.0,4.0,157.0,240.0,10.0,7.0,8.0,4.0
Christian Dalle Mura,Serie A,MF,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Eriksen,Serie A,"MF,DF",28.0,118.0,89.0,89.89999999999999,21.0,26.0,8.0,0.0,236.0,90.0,4488.0,5868.0,236.0,158.0,65.0,34.0
Christian Fuchs,Premier League,DF,34.0,48.0,39.0,40.0,0.0,1.0,5.0,0.0,22.0,1.0,1923.0,2570.0,21.0,31.0,17.0,0.0
Christian Gebauer,Bundesliga,"MF,FW",27.0,9.0,3.0,3.5,0.0,0.0,0.0,0.0,4.0,2.0,46.0,70.0,1.0,2.0,2.0,1.0
Christian Gentner,Bundesliga,MF,35.0,94.0,84.0,79.4,5.0,9.0,10.0,0.0,94.0,27.0,2443.0,3396.0,67.0,81.0,59.0,10.0
Christian Groß,Bundesliga,"MF,DF",31.0,27.0,20.0,19.5,0.0,1.0,6.0,0.0,6.0,0.0,901.0,1033.0,5.0,3.0,11.0,0.0
Christian Günter,Bundesliga,DF,27.0,117.0,117.0,116.7,3.0,19.0,8.0,1.0,96.0,28.0,4027.0,5645.0,211.0,186.0,119.0,74.0
